Droplet diameter [m],Impact velocity [m/s],Density [kg/m3],Surface Tension [N/m],Dynamic Viscosity [Pa s],Distance between adjacent laser beam passes [µm],Average depth of micro-channels [µm],Reynolds number,Weber number
0.002417538,0.988848344,1045.3818,0.07116923,0.001619878,200,25,1542.750989,34.722856
0.002325922,1.423739803,1198.87915,0.06685259,0.035647434,100,6,111.3711937,84.54998502
0.002425075,1.50726978,1045.5648,0.07122908,0.001639917,100,25,2330.479268,80.87249347
0.002369251,1.213674127,1153.184,0.06782757,0.00963225,800,6,344.2579632,59.33454238
0.002284732,1.227927443,1230.302,0.06571236,0.147945596,100,25,23.33015374,64.49785664
0.002263679,0.595689029,1199.7586,0.06696036,0.037690117,50,25,42.9240583,14.39229617
0.002533917,0.906296641,997.2375,0.07246,0.000943923,600,25,2426.18954,28.64397793
0.002338537,0.981107632,1151.348,0.06742348,0.008610586,200,25,306.7855401,38.43908832
0.002498406,0.512148935,997.2375,0.07246,0.000943923,400,6,1351.827634,9.018946862
0.002507223,1.212434685,997.2375,0.07246,0.000943923,100,6,3211.540312,50.72358768
0.002352786,1.399718974,1230.617625,0.065765873,0.152077865,800,6,26.64896941,86.25547862
0.002321968,1.423488188,1230.617625,0.065765873,0.152077865,600,25,26.7465203,88.04132661
0.002444498,0.964562499,1045.5042,0.07120927,0.00163321,100,6,1509.39832,33.39179132
0.002293615,0.523325062,1231.2015,0.06586251,0.159808968,600,25,9.247406686,11.74233214
0.002397294,1.423467504,1152.86,0.067755,0.009443533,800,25,416.5919104,82.65165609
0.002307322,0.532213787,1231.2015,0.06586251,0.159808968,800,25,9.460677471,12.21718716
0.002317645,1.609287213,1230.239625,0.065701673,0.147132715,200,6,31.18609361,112.3899198
0.002310934,0.553699348,1152.158,0.067599618,0.009047234,400,25,162.9513048,12.0754531
0.002552379,1.186051823,997.2375,0.07246,0.000943923,800,6,3198.238494,49.41431113
0.002397493,1.282686218,1045.22655,0.071118393,0.001603365,50,25,2004.729643,57.97312346
0.002287274,0.53196457,1231.2015,0.06586251,0.159808968,400,6,9.374084697,12.09969578
0.002351191,0.952335744,1151.51,0.067458438,0.008696196,50,6,296.49429,36.3998394
0.002264429,0.579776587,1152.266,0.067623358,0.009107103,50,25,166.1085379,12.96988527
0.00225186,0.586203183,1230.239625,0.065701673,0.147132715,50,25,11.03748449,14.48942333
0.002372338,1.0085816,1045.5042,0.07120927,0.00163321,50,25,1531.691524,35.4313608
0.002348249,1.591319438,1199.7586,0.06696036,0.037690117,100,6,118.9509198,106.5454438
0.002354338,1.588298915,1199.2114,0.06689444,0.036419641,800,6,123.1292019,106.472866
0.002452728,0.513447051,1045.10055,0.071077093,0.001590276,400,6,827.6193256,9.507562516
0.002479549,1.198770992,1045.0688,0.07106668,0.001587021,600,25,1957.362162,52.39911909
0.002304172,0.544911569,1199.7586,0.06696036,0.037690117,100,6,39.96752298,12.25865921
0.002416903,1.496941089,1045.5648,0.07122908,0.001639917,100,25,2306.710046,79.49911867
0.002505401,1.596962109,1044.68,0.070939,0.001548471,600,6,2699.305544,94.09459879
0.00250212,1.594503529,1044.68,0.070939,0.001548471,800,25,2691.620652,93.68226299
0.002337335,0.540589652,1152.158,0.067599618,0.009047234,400,6,160.910708,11.64191045
0.002456019,1.631422153,997.2375,0.07246,0.000943923,50,25,4233.116303,89.9631782
0.002340904,1.581224775,1199.7586,0.06696036,0.037690117,100,6,117.8266756,104.8689561
0.002381171,1.666162703,1044.8112,0.07098212,0.001561216,50,25,2655.112204,97.30031654
0.002226807,1.585464462,1230.1775,0.06569099,0.1463243,400,6,29.68181763,104.8232575
0.00239301,1.606552098,1152.32,0.06763525,0.009137186,600,6,484.8418096,105.2287036
0.002317891,1.192681855,1230.302,0.06571236,0.147945596,100,6,22.98938326,61.73151126
0.002304124,1.430498089,1230.745625,0.065787313,0.153762912,200,6,26.38212832,88.2077124
0.00221577,1.230693944,1230.302,0.06571236,0.147945596,50,25,22.67694357,62.83325515
0.002430796,0.520493389,1045.10055,0.071077093,0.001590276,100,25,831.4751788,9.682943773
0.002252435,0.591368499,1230.239625,0.065701673,0.147132715,50,25,11.13758016,14.74965467
0.002436912,0.961713747,1045.5042,0.07120927,0.00163321,100,6,1500.270042,33.09182686
0.002434298,0.985685783,1045.3818,0.07116923,0.001619878,200,25,1548.477515,34.74027977
0.002495723,0.512155998,997.2375,0.07246,0.000943923,600,6,1350.394738,9.009511288
0.002388404,1.604941474,1152.32,0.06763525,0.009137186,400,6,483.4233235,104.8156526
0.002341359,1.578734688,1199.7586,0.06696036,0.037690117,100,6,117.6639664,104.5592227
0.002436779,0.527332131,1045.10055,0.071077093,0.001590276,200,25,844.4731349,9.963524101
0.002334076,1.595508882,1199.2114,0.06689444,0.036419641,600,25,122.6236446,106.5170394
0.002559332,0.897848798,997.2375,0.07246,0.000943923,400,6,2427.682581,28.39444221
0.00234844,1.233561537,1153.184,0.06782757,0.00963225,400,25,346.8255206,60.75658773
0.002318453,1.205284354,1199.55115,0.06693579,0.037208576,100,6,90.08729736,60.35840274
0.002551432,0.920790629,997.2375,0.07246,0.000943923,200,6,2482.029002,29.77186057
0.002243407,1.598990328,1230.239625,0.065701673,0.147132715,100,25,29.99400547,107.4021873
0.002333474,0.978294866,1151.348,0.06742348,0.008610586,200,25,305.2436661,38.13624896
0.002327345,1.185014967,1230.302,0.06571236,0.147945596,800,6,22.93476351,61.18896092
0.002563192,1.603359457,997.2375,0.07246,0.000943923,800,25,4341.842905,90.68662461
0.00233283,0.97087303,1151.348,0.06742348,0.008610586,400,25,302.8442749,37.54942953
0.002604835,1.591045766,997.2375,0.07246,0.000943923,800,6,4378.494964,90.74981754
0.002492367,1.424513823,1045.32,0.071149,0.001613252,600,6,2300.518044,74.30632405
0.002310931,0.541775443,1199.4826,0.06692756,0.037049434,400,6,40.53392198,12.15666721
0.002281613,0.998837004,1199.2114,0.06689444,0.036419641,100,25,75.04067781,40.80722027
0.002346225,0.544425924,1199.3464,0.06691104,0.036733188,600,6,41.70560377,12.4650507
0.002431156,0.966902877,1045.3818,0.07116923,0.001619878,400,25,1517.010237,33.38576094
0.002573366,1.589656042,997.2375,0.07246,0.000943923,400,6,4321.820234,89.49692163
0.002350888,1.40461707,1230.617625,0.065765873,0.152077865,800,6,26.72064518,86.7901229
0.0023161,0.941431364,1230.6815,0.06577659,0.152918067,200,6,17.54820769,38.40686639
0.002472037,1.225592516,997.2375,0.07246,0.000943923,100,25,3200.83367,51.10312293
0.002452525,0.526664497,1044.97295,0.071035233,0.001577294,800,25,855.7360114,10.00720436
0.002578283,1.592749563,997.2375,0.07246,0.000943923,600,6,4338.504447,90.01725706
0.002323346,0.940299698,1199.0776,0.06687776,0.036108771,800,25,72.54623194,36.83088417
0.002317687,1.211944917,1199.55115,0.06693579,0.037208576,50,6,90.5551825,61.00716631
0.002312012,0.564180491,1199.4826,0.06692756,0.037049434,400,25,42.22994821,13.18910112
0.002469262,0.519946194,1044.97295,0.071035233,0.001577294,800,6,850.5851979,9.820082623
0.002528147,1.196752252,997.2375,0.07246,0.000943923,600,6,3196.45485,49.83231482
0.002260301,1.60205191,1152.482,0.067671018,0.009228031,50,25,452.2390187,98.79864163
0.002403307,1.418674141,1152.86,0.067755,0.009443533,800,6,416.2305674,82.30188729
0.002287946,1.599493095,1199.41435,0.06691931,0.036890972,200,25,118.9809175,104.9127635
0.002477143,1.408046459,997.2375,0.07246,0.000943923,800,25,3684.937074,67.59044325
0.002346428,1.419806154,1198.74835,0.06683571,0.035343155,800,25,112.9949321,84.83689563
0.002493817,1.219163361,997.2375,0.07246,0.000943923,600,25,3212.095826,51.01391207
0.00235566,1.585646288,1230.1775,0.06569099,0.1463243,800,25,31.40294118,110.9142351
0.002302186,0.96346467,1199.2114,0.06689444,0.036419641,50,6,73.035871,38.31048477
0.002337378,0.539871357,1152.158,0.067599618,0.009047234,600,6,160.6998131,11.61120357
0.002272264,0.533375083,1230.239625,0.065701673,0.147132715,50,6,10.13379331,12.10424174
0.00226015,0.973666864,1230.6815,0.06577659,0.152918067,400,25,17.71064895,40.08965428
0.002379334,1.529676339,1045.5648,0.07122908,0.001639917,50,25,2320.512605,81.7237109
0.002287919,1.235450228,1230.302,0.06571236,0.147945596,100,25,23.50582604,65.38163067
0.002435102,1.395859806,997.2375,0.07246,0.000943923,400,25,3591.046654,65.29818095
0.002376243,1.603648548,1152.32,0.06763525,0.009137186,600,6,480.5743924,104.1140076
0.002298908,1.427750685,1230.617625,0.065765873,0.152077865,400,25,26.56018057,87.68974794
0.002366065,0.948295548,1151.348,0.06742348,0.008610586,400,6,300.0159276,36.33369466
0.002281657,0.978655291,1230.6815,0.06577659,0.152918067,200,25,17.97078124,40.88689694
0.00231305,0.552064481,1199.4826,0.06692756,0.037049434,200,6,41.34158829,12.63436875
0.002459363,0.518653843,997.2375,0.07246,0.000943923,200,25,1347.604189,9.104963026
0.0025212,1.195526718,997.2375,0.07246,0.000943923,800,25,3184.407726,49.59366329
0.002271615,1.204573135,1152.32,0.06763525,0.009137186,50,25,345.086968,56.15663484
0.002579752,1.593010415,997.2375,0.07246,0.000943923,200,6,4341.687953,90.09806323
0.002601233,1.586071167,997.2375,0.07246,0.000943923,800,6,4358.770563,90.05854234
0.002320721,0.553903821,1152.158,0.067599618,0.009047234,400,25,163.701795,12.13554776
0.002567701,1.594763183,997.2375,0.07246,0.000943923,600,6,4326.161835,89.87464676
0.002324449,1.199586713,1199.55115,0.06693579,0.037208576,400,6,89.89330789,59.94371709
0.002518363,1.58038399,1044.68,0.070939,0.001548471,800,6,2685.10455,92.62790853
0.002314021,1.215906742,1199.41435,0.06691931,0.036890972,600,25,91.47800132,61.31766065
0.002440327,1.62587821,1044.68,0.070939,0.001548471,200,25,2676.801856,94.99970828
0.002319773,1.214512971,1199.55115,0.06693579,0.037208576,100,6,90.82874292,61.32112618
0.00247048,1.221130191,997.2375,0.07246,0.000943923,100,25,3187.170584,50.69971418
0.002512816,1.589944109,1044.68,0.070939,0.001548471,200,6,2695.397229,93.5454507
0.002439601,0.531566393,1045.16375,0.071097813,0.001596807,50,6,848.8054559,10.13355697
0.002458089,0.517695843,1044.97295,0.071035233,0.001577294,600,25,843.0720393,9.691216179
0.002344402,0.966766252,1151.348,0.06742348,0.008610586,600,25,303.0592444,37.41713719
0.002329624,1.198986319,1199.55115,0.06693579,0.037208576,400,6,90.04836202,60.01705851
0.002476357,1.621064069,1044.68,0.070939,0.001548471,600,25,2708.280704,95.83229558
0.002496177,1.217609679,997.2375,0.07246,0.000943923,400,25,3211.038631,50.93213201
0.002505204,1.597998174,1044.68,0.070939,0.001548471,400,6,2700.84384,94.20930272
0.002416896,1.683286335,1044.8112,0.07098212,0.001561216,100,25,2722.643603,100.8005169
0.002330233,1.252459304,1152.32,0.06763525,0.009137186,100,25,368.0641902,62.27683491
0.002436294,1.245127585,1045.16375,0.071097813,0.001596807,400,25,1985.525657,55.52461981
0.002277686,0.993061388,1199.2114,0.06689444,0.036419641,100,25,74.47835349,40.26723448
