Sample,Droplet diameter [m],Impact velocity [m/s],Density [kg/m3],Surface Tension [N/m],Dynamic Viscosity [Pa s],Distance between adjacent laser beam passes [µm],Average depth of micro-channels [µm],Reynolds number,Weber number,Contact time [s],Rebound efficiency,Spreading coefficient,Lamella velocity [m/s]
D50,0.002473716,0.536893722,997.2375,0.07246,0.000943923,50,25,1403.137456,9.813564425,0.0116,0.37982146,1.560186908,0.630630631
D50,0.002447832,0.520219068,997.2375,0.07246,0.000943923,50,25,1345.3331,9.117049816,0.0112,0.404025451,1.561484361,0.563938619
D50,0.002457574,0.525367238,997.2375,0.07246,0.000943923,50,25,1364.054232,9.335398427,0.0114,0.390917009,1.560393514,0.626598465
D50,0.002444521,0.515019661,997.2375,0.07246,0.000943923,50,25,1330.085602,8.923631648,0.0114,0.410315507,1.558472561,0.532608696
D50,0.002455661,0.523726659,997.2375,0.07246,0.000943923,50,25,1358.736271,9.269964776,0.0114,0.397798516,1.561608985,0.595268542
D100,0.002448526,0.522099822,997.2375,0.07246,0.000943923,100,25,1350.579846,9.185695473,0.0114,0.396497871,1.561041612,0.595268542
D100,0.00245558,0.52330602,997.2375,0.07246,0.000943923,100,25,1357.599961,9.254773228,0.0116,0.394548929,1.556557304,0.626598465
D100,0.002457208,0.530832045,997.2375,0.07246,0.000943923,100,25,1378.037605,9.529199845,0.0114,0.383043796,1.560626044,0.657928389
D100,0.00245733,0.522913755,997.2375,0.07246,0.000943923,100,25,1357.549194,9.24749013,0.0116,0.393452046,1.555448691,0.563938619
D100,0.002465251,0.534823601,997.2375,0.07246,0.000943923,100,25,1392.944357,9.704710081,0.0116,0.378180323,1.570784601,0.563938619
D200,0.002459363,0.518653843,997.2375,0.07246,0.000943923,200,25,1347.604189,9.104963026,0.0116,0.400618004,1.559258194,0.563938619
D200,0.002462411,0.511564347,997.2375,0.07246,0.000943923,200,25,1330.83058,8.868726744,0.0114,0.414280563,1.557328689,0.626598465
D200,0.002465616,0.517067388,997.2375,0.07246,0.000943923,200,25,1346.897804,9.072354799,0.0114,0.408906214,1.560386696,0.595268542
D200,0.002459811,0.522088954,997.2375,0.07246,0.000943923,200,25,1356.77618,9.227646501,0.0116,0.397317852,1.56406944,0.657928389
D200,0.00245851,0.518410948,997.2375,0.07246,0.000943923,200,25,1346.505423,9.093278763,0.0116,0.40223496,1.559799742,0.595268542
D400,0.002462735,0.501838412,997.2375,0.07246,0.000943923,400,25,1305.700843,8.535831207,0.0114,0.431688447,1.57747785,0.563938619
D400,0.002462898,0.510271662,997.2375,0.07246,0.000943923,400,25,1327.730311,8.825707996,0.0116,0.415492939,1.582462146,0.595268542
D400,0.002463547,0.5070987,997.2375,0.07246,0.000943923,400,25,1319.822169,8.718587882,0.0116,0.416701149,1.571871059,0.626598465
D400,0.002461355,0.503702475,997.2375,0.07246,0.000943923,400,25,1309.816081,8.594539988,0.0116,0.425204783,1.578362744,0.563938619
D400,0.002456842,0.504200763,997.2375,0.07246,0.000943923,400,25,1308.707833,8.595763022,0.0114,0.426900125,1.571060369,0.563938619
D600,0.002470315,0.509208729,997.2375,0.07246,0.000943923,600,25,1328.955057,8.815447588,0.012,0.393812556,1.562491354,0.657928389
D600,0.002465332,0.509081136,997.2375,0.07246,0.000943923,600,25,1325.941911,8.793256391,0.0122,0.392787874,1.560566365,0.563938619
D600,0.002471691,0.510800884,997.2375,0.07246,0.000943923,600,25,1333.852732,8.875600725,0.0116,0.40181372,1.566691898,0.563938619
D600,0.002475491,0.519682077,997.2375,0.07246,0.000943923,600,25,1359.130182,9.201042343,0.012,0.388367515,1.559224889,0.563938619
D600,0.002480091,0.519669599,997.2375,0.07246,0.000943923,600,25,1361.623057,9.217697297,0.012,0.37721217,1.58159802,0.595268542
D800,0.002499246,0.516404123,997.2375,0.07246,0.000943923,800,25,1363.517698,9.172520989,0.0126,0.384392613,1.644690279,0.814578005
D800,0.002498726,0.509873018,997.2375,0.07246,0.000943923,800,25,1345.992744,8.940112469,0.0122,0.378572336,1.57983316,0.657928389
D800,0.002490671,0.503564301,997.2375,0.07246,0.000943923,800,25,1325.053001,8.692134098,0.012,0.412790156,1.564816559,0.626598465
D800,0.002503922,0.508260876,997.2375,0.07246,0.000943923,800,25,1344.527154,8.902141484,0.0142,0.31793632,1.566544735,0.595268542
D800,0.002502524,0.506758003,997.2375,0.07246,0.000943923,800,25,1339.803103,8.844633247,0.02,0.212351186,1.592458478,0.563938619
S50,0.002465332,0.484219521,997.2375,0.07246,0.000943923,50,6,1261.187877,7.955368754,0.0114,0.466101876,1.575816199,0.563938619
S50,0.002495323,0.49956381,997.2375,0.07246,0.000943923,50,6,1316.981636,8.570554519,0.0116,0.436726466,1.602076658,0.595268542
S50,0.002498766,0.504806562,997.2375,0.07246,0.000943923,50,6,1332.639357,8.763465091,0.0116,0.428969959,1.579807863,0.595268542
S50,0.002489627,0.49453188,997.2375,0.07246,0.000943923,50,6,1300.740148,8.379595842,0.0114,0.44708481,1.580573721,0.563938619
S50,0.002494241,0.500223262,997.2375,0.07246,0.000943923,50,6,1318.148284,8.589470381,0.0116,0.435524678,1.592722949,0.626598465
S100,0.002486854,0.52501096,997.2375,0.07246,0.000943923,100,6,1379.369782,9.433814042,0.0116,0.397085894,1.567218001,0.626598465
S100,0.002489466,0.525848557,997.2375,0.07246,0.000943923,100,6,1383.021445,9.473879013,0.0116,0.396194015,1.570607716,0.657928389
S100,0.00248818,0.531129487,997.2375,0.07246,0.000943923,100,6,1396.189355,9.660129968,0.0116,0.385566577,1.571419163,0.877237852
S100,0.002487457,0.528422337,997.2375,0.07246,0.000943923,100,6,1388.669176,9.559126235,0.0116,0.391320098,1.566838091,0.689258312
S100,0.002475248,0.521858077,997.2375,0.07246,0.000943923,100,6,1364.687488,9.277348112,0.0116,0.401188651,1.564440461,0.626598465
S200,0.002499886,0.512474037,997.2375,0.07246,0.000943923,200,6,1353.487173,9.035750832,0.012,0.396634872,1.56406097,0.626598465
S200,0.002490229,0.503792268,997.2375,0.07246,0.000943923,200,6,1325.417821,8.698463341,0.0116,0.42819376,1.580191426,0.563938619
S200,0.002501525,0.512496515,997.2375,0.07246,0.000943923,200,6,1354.434088,9.042468938,0.0118,0.41481949,1.583074977,0.595268542
S200,0.002501765,0.508472288,997.2375,0.07246,0.000943923,200,6,1343.927612,8.901873101,0.0118,0.419959147,1.572904736,0.595268542
S200,0.002498406,0.506414822,997.2375,0.07246,0.000943923,200,6,1336.692324,8.81812186,0.0118,0.424010795,1.585051572,0.720588235
S400,0.002494241,0.511851219,997.2375,0.07246,0.000943923,400,6,1348.789346,8.993445408,0.0136,0.357724761,1.562576774,0.563938619
S400,0.00249408,0.510800728,997.2375,0.07246,0.000943923,400,6,1345.934645,8.955992344,0.0118,0.416370282,1.582775974,0.563938619
S400,0.002497686,0.510702904,997.2375,0.07246,0.000943923,400,6,1347.622098,8.965503508,0.0118,0.413760293,1.570456464,0.689258312
S400,0.002498406,0.512148935,997.2375,0.07246,0.000943923,400,6,1351.827634,9.018946862,0.0132,0.337897404,1.5750196,0.657928389
S400,0.002502924,0.514883719,997.2375,0.07246,0.000943923,400,6,1361.503762,9.132007074,0.012,0.404945566,1.577183511,0.532608696
S600,0.002497005,0.514805607,997.2375,0.07246,0.000943923,600,6,1358.07798,9.107647422,0.0118,0.407226702,1.555828114,0.563938619
S600,0.002496484,0.514887129,997.2375,0.07246,0.000943923,600,6,1358.009859,9.10863275,0.012,0.406862148,1.56117239,0.626598465
S600,0.002495443,0.516407315,997.2375,0.07246,0.000943923,600,6,1361.451125,9.158675554,0.0136,0.313434782,1.561823954,0.563938619
S600,0.002498606,0.514167839,997.2375,0.07246,0.000943923,600,6,1357.265257,9.090920795,0.0136,0.346497932,1.559846724,0.563938619
S600,0.002495723,0.512155998,997.2375,0.07246,0.000943923,600,6,1350.394738,9.009511288,0.0118,0.409815903,1.561648453,0.532608696
S800,0.002499726,0.513597387,997.2375,0.07246,0.000943923,800,6,1356.367227,9.074826434,0.0122,0.390106422,1.589227754,0.563938619
S800,0.002500964,0.518391124,997.2375,0.07246,0.000943923,800,6,1369.704849,9.249596423,0.0128,0.33014637,1.580440672,0.627400768
S800,0.002504648,0.518688686,997.2375,0.07246,0.000943923,800,6,1372.510181,9.273861026,0.0192,0.210356147,1.59815524,0.564660691
S800,0.002501525,0.512694761,997.2375,0.07246,0.000943923,800,6,1354.957682,9.04946375,0.014,0.320250613,1.615199232,0.533290653
S800,0.002501925,0.513085607,997.2375,0.07246,0.000943923,800,6,1356.207807,9.064718163,0.0154,0.279743514,1.584848504,0.564660691
D50,0.002479592,0.983186688,997.2375,0.07246,0.000943923,50,25,2575.598999,32.98773303,0.0114,0.220861744,2.044100443,1.15477707
D50,0.002466875,0.975795597,997.2375,0.07246,0.000943923,50,25,2543.126812,32.32697777,0.0118,0.2286463,2.04957737,1.217197452
D50,0.002525349,0.959830367,997.2375,0.07246,0.000943923,50,25,2560.813087,32.0192091,0.012,0.22159002,1.999572687,1.059796438
D50,0.002527464,0.960481371,997.2375,0.07246,0.000943923,50,25,2564.696446,32.08951474,0.0122,0.222831557,2.017631508,1.028625954
D50,0.002532643,0.962175404,997.2375,0.07246,0.000943923,50,25,2574.484704,32.26879889,0.012,0.217988972,2.006211894,1.123566879
D100,0.0025198,0.893854837,997.2375,0.07246,0.000943923,100,25,2379.551678,27.70769315,0.0128,0.24789067,2.016437285,0.967515924
D100,0.002522594,0.917856605,997.2375,0.07246,0.000943923,100,25,2446.156795,29.24808005,0.0128,0.23712487,1.994408192,0.905095541
D100,0.002523931,0.898882096,997.2375,0.07246,0.000943923,100,25,2396.857924,28.06617674,0.0128,0.220134623,1.97356662,0.998726115
D100,0.002517831,0.900628084,997.2375,0.07246,0.000943923,100,25,2395.708878,28.1072115,0.0128,0.246018768,1.983306755,1.029936306
D100,0.002532526,0.918938639,997.2375,0.07246,0.000943923,100,25,2458.682349,29.43250116,0.0128,0.210770741,1.971798525,0.998726115
D200,0.002535815,0.948443576,997.2375,0.07246,0.000943923,200,25,2540.920213,31.39357402,0.013,0.218816107,1.964318123,1.061146497
D200,0.002533348,0.943678185,997.2375,0.07246,0.000943923,200,25,2525.694787,31.04867112,0.013,0.221593455,1.961302475,1.029936306
D200,0.002533583,0.916677417,997.2375,0.07246,0.000943923,200,25,2453.656512,29.30006149,0.013,0.222411822,1.966048011,1.029936306
D200,0.002542535,0.940094938,997.2375,0.07246,0.000943923,200,25,2525.229035,30.92507221,0.013,0.210632934,1.959125658,0.998726115
D200,0.002534562,0.925767615,997.2375,0.07246,0.000943923,200,25,2478.945472,29.89559435,0.0128,0.232828555,1.970214261,1.029936306
D400,0.002512856,0.918852117,997.2375,0.07246,0.000943923,400,25,2439.356091,29.19840015,0.0128,0.225806378,1.964858008,1.090966921
D400,0.002523192,0.918320727,997.2375,0.07246,0.000943923,400,25,2447.973946,29.28460779,0.0128,0.222198566,1.951867166,1.090966921
D400,0.002520249,0.908872487,997.2375,0.07246,0.000943923,400,25,2419.961419,28.6516497,0.0128,0.226466502,1.959093971,1.059796438
D400,0.002533409,0.940827958,997.2375,0.07246,0.000943923,400,25,2518.126425,30.86213586,0.0128,0.209801127,1.953838928,1.028625954
D400,0.002534659,0.943242289,997.2375,0.07246,0.000943923,400,25,2525.833788,31.03603736,0.013,0.211360825,1.947956474,0.966284987
D600,0.002526642,0.901665632,997.2375,0.07246,0.000943923,600,25,2406.862061,28.27059515,0.014,0.211122134,1.954137272,0.997455471
D600,0.002542533,0.923191882,997.2375,0.07246,0.000943923,600,25,2479.823057,29.82297086,0.0162,0.168626924,1.941923138,0.935114504
D600,0.002539262,0.914235196,997.2375,0.07246,0.000943923,600,25,2452.604052,29.20946562,0.0134,0.215165105,1.944425234,1.028625954
D600,0.002533917,0.906296641,997.2375,0.07246,0.000943923,600,25,2426.18954,28.64397793,0.0134,0.22130508,1.943606342,0.935114504
D600,0.002539651,0.918864438,997.2375,0.07246,0.000943923,600,25,2465.401166,29.51054802,0.013,0.224929103,1.939217447,0.966284987
D800,0.002547899,0.897632252,997.2375,0.07246,0.000943923,800,25,2416.254946,28.25396732,0.0144,0.19733698,1.937833439,0.997455471
D800,0.002550306,0.905684547,997.2375,0.07246,0.000943923,800,25,2440.233383,28.79032421,0.014,0.198987958,1.931115531,0.935114504
D800,0.002548482,0.898461005,997.2375,0.07246,0.000943923,800,25,2419.038769,28.31263534,0.0162,0.162123593,1.937390462,0.966284987
D800,0.002545801,0.896408576,997.2375,0.07246,0.000943923,800,25,2410.973826,28.15378128,0.015,0.191647344,1.939430677,1.028625954
D800,0.002551238,0.915043001,997.2375,0.07246,0.000943923,800,25,2466.348539,29.39911029,0.0146,0.202883582,1.930410702,0.997455471
S50,0.002502002,0.957970736,997.2375,0.07246,0.000943923,50,6,2532.222529,31.60038287,0.0124,0.219619066,2.018231427,1.153307888
S50,0.002504295,0.956875995,997.2375,0.07246,0.000943923,50,6,2531.646954,31.55709631,0.0126,0.218268309,2.016383376,1.028625954
S50,0.002487562,0.957108295,997.2375,0.07246,0.000943923,50,6,2515.341942,31.36146534,0.0124,0.218012324,2.019922289,1.184478372
S50,0.002501092,0.960395862,997.2375,0.07246,0.000943923,50,6,2537.709663,31.74902897,0.0124,0.217327558,2.023950784,1.215648855
S50,0.002505006,0.95589344,997.2375,0.07246,0.000943923,50,6,2529.765633,31.50126567,0.0124,0.220939323,2.020788185,1.122137405
S100,0.002553564,0.918256436,997.2375,0.07246,0.000943923,100,6,2477.266743,29.63295674,0.0124,0.234879068,1.928651999,1.090966921
S100,0.002551548,0.912285663,997.2375,0.07246,0.000943923,100,6,2459.215669,29.22575241,0.0124,0.231846059,1.93017593,0.90394402
S100,0.002555153,0.923158545,997.2375,0.07246,0.000943923,100,6,2492.040895,29.96882342,0.0126,0.225758404,1.932332607,0.997455471
S100,0.002555811,0.920763219,997.2375,0.07246,0.000943923,100,6,2486.215211,29.82118626,0.0124,0.231751556,1.936713222,0.966284987
S100,0.002556508,0.927075956,997.2375,0.07246,0.000943923,100,6,2503.943233,30.23973842,0.0126,0.22770385,1.941062316,0.966284987
S200,0.002551432,0.920790629,997.2375,0.07246,0.000943923,200,6,2482.029002,29.77186057,0.0128,0.226765614,1.935150704,0.966284987
S200,0.002558636,0.928244475,997.2375,0.07246,0.000943923,200,6,2509.186407,30.34125448,0.0128,0.225377116,1.934574776,0.966284987
S200,0.00255643,0.925163578,997.2375,0.07246,0.000943923,200,6,2498.702409,30.11419764,0.0124,0.229177708,1.931366726,1.059796438
S200,0.002551587,0.922715412,997.2375,0.07246,0.000943923,200,6,2487.36858,29.8982764,0.0124,0.231300714,1.93014659,1.090966921
S200,0.002552556,0.922260461,997.2375,0.07246,0.000943923,200,6,2487.086768,29.88014913,0.0132,0.219626229,1.934298104,0.935114504
S400,0.002559719,0.885184976,997.2375,0.07246,0.000943923,400,6,2393.80262,27.6032746,0.0124,0.251597003,1.928885505,0.935114504
S400,0.002514194,0.894409312,997.2375,0.07246,0.000943923,400,6,2375.73064,27.6803607,0.0126,0.26265697,1.934057083,0.997455471
S400,0.002565126,0.89032724,997.2375,0.07246,0.000943923,400,6,2412.794825,27.98390307,0.0126,0.249497372,1.924819553,0.997455471
S400,0.002558791,0.885633528,997.2375,0.07246,0.000943923,400,6,2394.147275,27.62123835,0.0124,0.25126285,1.919839737,0.935114504
S400,0.002559332,0.897848798,997.2375,0.07246,0.000943923,400,6,2427.682581,28.39444221,0.0128,0.240334193,1.9194336,1.028625954
S600,0.002571292,0.902760107,997.2375,0.07246,0.000943923,600,6,2452.368465,28.84007039,0.0134,0.229138453,1.925053088,0.966284987
S600,0.002575637,0.910148545,997.2375,0.07246,0.000943923,600,6,2476.617838,29.36361421,0.013,0.234071376,1.926645985,0.997455471
S600,0.002575483,0.905743397,997.2375,0.07246,0.000943923,600,6,2464.483852,29.07832507,0.0132,0.231306146,1.921919857,0.997455471
S600,0.002562115,0.899247164,997.2375,0.07246,0.000943923,600,6,2434.107218,28.51392577,0.0126,0.242410287,1.927081693,0.935114504
S600,0.002565087,0.889042278,997.2375,0.07246,0.000943923,600,6,2409.276327,27.90276627,0.013,0.242284912,1.924848505,1.028625954
S800,0.002586144,0.905768932,997.2375,0.07246,0.000943923,800,6,2474.754616,29.20033253,0.0146,0.215298355,1.92363974,1.028625954
S800,0.002588668,0.907070124,997.2375,0.07246,0.000943923,800,6,2480.728938,29.31287457,0.0152,0.205882608,1.912130921,1.028625954
S800,0.002588133,0.900927966,997.2375,0.07246,0.000943923,800,6,2463.421375,28.91125921,0.0162,0.162364227,1.917343839,1.059796438
S800,0.002584881,0.902492214,997.2375,0.07246,0.000943923,800,6,2464.597549,28.97528457,0.0142,0.207836637,1.910109237,0.935114504
S800,0.002589662,0.909153017,997.2375,0.07246,0.000943923,800,6,2487.379954,29.45895575,0.0164,0.129456309,1.916211727,1.028625954
D50,0.002445189,1.226051341,997.2375,0.07246,0.000943923,50,25,3167.25537,50.58595711,0.0112,0.123554112,2.401662904,1.496183206
D50,0.002466664,1.226827757,997.2375,0.07246,0.000943923,50,25,3197.096252,51.09489823,0.0112,0.162246402,2.408329379,1.576576577
D50,0.002470398,1.222857374,997.2375,0.07246,0.000943923,50,25,3191.572639,50.84154899,0.011,0.119821036,2.409795375,1.45045045
D50,0.002467116,1.234302348,997.2375,0.07246,0.000943923,50,25,3217.163799,51.72886649,0.011,0.115932685,2.433450011,1.45045045
D50,0.002465802,1.225709165,997.2375,0.07246,0.000943923,50,25,3193.064549,50.9839366,0.0112,0.135965904,2.434746684,1.671171171
D100,0.002476907,1.2185812,997.2375,0.07246,0.000943923,100,25,3188.792532,50.61963061,0.0116,0.153247906,2.383093911,1.671171171
D100,0.002472037,1.225592516,997.2375,0.07246,0.000943923,100,25,3200.83367,51.10312293,0.0122,0.164179795,2.377584742,1.63963964
D100,0.002472815,1.227806027,997.2375,0.07246,0.000943923,100,25,3207.624125,51.30402822,0.0122,0.149676225,2.412540012,1.63963964
D100,0.002470603,1.226578234,997.2375,0.07246,0.000943923,100,25,3201.549428,51.15566074,0.0112,0.129027024,2.430015758,1.608108108
D100,0.00247048,1.221130191,997.2375,0.07246,0.000943923,100,25,3187.170584,50.69971418,0.0108,0.123768896,2.430136719,1.576576577
D200,0.002477684,1.215485758,997.2375,0.07246,0.000943923,200,25,3181.689776,50.37858216,0.0118,0.148534697,2.428161204,1.608108108
D200,0.002481156,1.217584314,997.2375,0.07246,0.000943923,200,25,3191.649031,50.62352781,0.0116,0.154240629,2.404430077,1.513513514
D200,0.002480544,1.218277176,997.2375,0.07246,0.000943923,200,25,3192.677113,50.6686509,0.012,0.15660255,2.384685146,1.608108108
D200,0.002480911,1.20967237,997.2375,0.07246,0.000943923,200,25,3170.596487,49.96282302,0.0122,0.148747427,2.384331984,1.671171171
D200,0.00248238,1.216542689,997.2375,0.07246,0.000943923,200,25,3190.492025,50.56188429,0.0114,0.147645663,2.388001759,1.63963964
D400,0.002496177,1.217609679,997.2375,0.07246,0.000943923,400,25,3211.038631,50.93213201,0.0116,0.143024166,2.4082186,1.547036082
D400,0.002492147,1.217906923,997.2375,0.07246,0.000943923,400,25,3206.636954,50.87473104,0.0116,0.136914975,2.417180474,1.578608247
D400,0.002495119,1.216687466,997.2375,0.07246,0.000943923,400,25,3207.246912,50.83345912,0.0116,0.140562482,2.394055265,1.578608247
D400,0.002494468,1.217682628,997.2375,0.07246,0.000943923,400,25,3209.032502,50.90336113,0.0116,0.143668599,2.419993966,1.578608247
D400,0.002494794,1.212154488,997.2375,0.07246,0.000943923,400,25,3194.880839,50.44880369,0.0116,0.144088289,2.429802299,1.736469072
D600,0.002493817,1.219163361,997.2375,0.07246,0.000943923,600,25,3212.095826,51.01391207,0.0134,0.117533391,2.420626025,1.515463918
D600,0.002494387,1.218793505,997.2375,0.07246,0.000943923,600,25,3211.855239,50.99461625,0.012,0.130101674,2.394758376,1.578608247
D600,0.002495038,1.207283379,997.2375,0.07246,0.000943923,600,25,3182.353477,50.04905392,0.012,0.115814671,2.384010172,1.578608247
D600,0.002490639,1.217545553,997.2375,0.07246,0.000943923,600,25,3203.745884,50.81378126,0.0132,0.115037189,2.418643886,1.515463918
D600,0.00248962,1.206684833,997.2375,0.07246,0.000943923,600,25,3173.868388,49.89086129,0.0146,0.106472261,2.39934375,1.736469072
D800,0.002522204,1.184912046,997.2375,0.07246,0.000943923,800,25,3157.391312,48.73632278,0.017,0.069814199,2.360297782,1.513513514
D800,0.002522044,1.184631894,997.2375,0.07246,0.000943923,800,25,3156.443787,48.71017774,0.0154,0.099156711,2.375450943,1.797297297
D800,0.0025212,1.195526718,997.2375,0.07246,0.000943923,800,25,3184.407726,49.59366329,0.0128,0.132198894,2.371242957,1.481981982
D800,0.00251895,1.18732808,997.2375,0.07246,0.000943923,800,25,3159.7469,48.87213021,0.0142,0.106516721,2.383375605,1.545045045
D800,0.002522405,1.194061463,997.2375,0.07246,0.000943923,800,25,3182.024677,49.49581266,0.0134,0.133671111,2.365110163,1.63963964
S50,0.002499739,1.203928618,997.2375,0.07246,0.000943923,50,6,3179.490376,49.86507612,0.0116,0.139039519,2.38150949,1.608108108
S50,0.002502371,1.209555796,997.2375,0.07246,0.000943923,50,6,3197.714675,50.38530021,0.012,0.131660499,2.394125437,1.45045045
S50,0.002505445,1.213027695,997.2375,0.07246,0.000943923,50,6,3210.832662,50.73721473,0.0118,0.137288763,2.396222224,1.797297297
S50,0.002504313,1.209028019,997.2375,0.07246,0.000943923,50,6,3198.799719,50.38040435,0.0118,0.135195845,2.392269046,1.418918919
S50,0.002506698,1.210863563,997.2375,0.07246,0.000943923,50,6,3206.706861,50.5816166,0.0118,0.139032832,2.369866879,1.734234234
S100,0.002507223,1.212434685,997.2375,0.07246,0.000943923,100,6,3211.540312,50.72358768,0.012,0.136401571,2.374401007,1.734234234
S100,0.002509443,1.213393158,997.2375,0.07246,0.000943923,100,6,3216.924579,50.84879371,0.012,0.14705735,2.370325356,1.483891753
S100,0.00251545,1.219360883,997.2375,0.07246,0.000943923,100,6,3240.484327,51.47311104,0.0118,0.141541285,2.391706078,1.63963964
S100,0.002513073,1.220822109,997.2375,0.07246,0.000943923,100,6,3241.302463,51.5478052,0.0122,0.139896846,2.424080577,1.513513514
S100,0.002505515,1.208092764,997.2375,0.07246,0.000943923,100,6,3197.859183,50.3266303,0.012,0.14392079,2.379081599,1.610180412
S200,0.002531702,1.199068621,997.2375,0.07246,0.000943923,200,6,3207.146081,50.09576507,0.0124,0.132337984,2.41122508,1.797297297
S200,0.002534101,1.200691837,997.2375,0.07246,0.000943923,200,6,3214.530797,50.279087,0.012,0.133696803,2.384056674,1.481981982
S200,0.002538095,1.204815638,997.2375,0.07246,0.000943923,200,6,3230.654013,50.70482398,0.0126,0.164545129,2.375336473,1.63963964
S200,0.002539571,1.202126811,997.2375,0.07246,0.000943923,200,6,3225.318489,50.50811064,0.0124,0.145090918,2.354090276,1.63963964
S200,0.002539291,1.200557613,997.2375,0.07246,0.000943923,200,6,3220.754239,50.37079749,0.013,0.141050557,2.349382093,1.576576577
S400,0.002527183,1.194349497,997.2375,0.07246,0.000943923,400,6,3188.820783,49.61348986,0.0124,0.137916329,2.333697666,1.641752577
S400,0.002523363,1.188218168,997.2375,0.07246,0.000943923,400,6,3167.655677,49.03118507,0.0122,0.142659516,2.347239773,1.641752577
S400,0.002528468,1.194056742,997.2375,0.07246,0.000943923,400,6,3189.660582,49.61439163,0.012,0.141162669,2.35748471,1.736469072
S400,0.002525937,1.188789021,997.2375,0.07246,0.000943923,400,6,3172.410127,49.12836908,0.0124,0.152817248,2.334848634,1.641752577
S400,0.002526901,1.193467463,997.2375,0.07246,0.000943923,400,6,3186.111197,49.53472384,0.0122,0.134255705,2.323961879,1.673324742
S600,0.002528147,1.196752252,997.2375,0.07246,0.000943923,600,6,3196.45485,49.83231482,0.0126,0.133952523,2.352788986,1.610180412
S600,0.002530876,1.197633109,997.2375,0.07246,0.000943923,600,6,3202.261126,49.95957908,0.013,0.14198646,2.360231398,1.673324742
S600,0.002528107,1.196232843,997.2375,0.07246,0.000943923,600,6,3195.016782,49.78827726,0.0126,0.139165883,2.337840207,1.673324742
S600,0.002533843,1.197086011,997.2375,0.07246,0.000943923,600,6,3204.550624,49.97245967,0.0126,0.14114553,2.352483628,1.704896907
S600,0.002532801,1.196568731,997.2375,0.07246,0.000943923,600,6,3201.848568,49.90874756,0.0126,0.149694546,2.358437625,1.610180412
S800,0.002558205,1.181801389,997.2375,0.07246,0.000943923,800,6,3194.051024,49.17275932,0.0138,0.12919874,2.327082283,1.608108108
S800,0.002558957,1.184507665,997.2375,0.07246,0.000943923,800,6,3202.306388,49.41274615,0.0162,0.090679697,2.375686483,1.797297297
S800,0.002557769,1.183337593,997.2375,0.07246,0.000943923,800,6,3197.658473,49.29228746,0.0132,0.13454032,2.357065093,1.671171171
S800,0.002555789,1.18447426,997.2375,0.07246,0.000943923,800,6,3198.251711,49.34878929,0.0126,0.137866234,2.344086808,1.45045045
S800,0.002552379,1.186051823,997.2375,0.07246,0.000943923,800,6,3198.238494,49.41431113,0.0128,0.133460057,2.371926086,1.545045045
D50,0.002451142,1.464794241,997.2375,0.07246,0.000943923,50,25,3793.211936,72.38056453,0.0108,0.113308072,2.712659774,2.201898734
D50,0.002449103,1.465253718,997.2375,0.07246,0.000943923,50,25,3791.245077,72.3657263,0.011,0.114205692,2.725048716,2.108860759
D50,0.00245246,1.463588008,997.2375,0.07246,0.000943923,50,25,3792.127153,72.30027806,0.0108,0.094543549,2.731434141,2.046835443
D50,0.0024459,1.447388333,997.2375,0.07246,0.000943923,50,25,3740.123026,70.51949432,0.011,0.121726938,2.738759908,1.860759494
D50,0.002437756,1.42523545,997.2375,0.07246,0.000943923,50,25,3670.615572,68.14966927,0.0108,0.120871063,2.737732498,2.046835443
D100,0.002453099,1.46657021,997.2375,0.07246,0.000943923,100,25,3800.844135,72.61413251,0.0108,0.129270439,2.675096745,2.108860759
D100,0.002448783,1.455290625,997.2375,0.07246,0.000943923,100,25,3764.974204,71.37563257,0.01,0.089834001,2.867247482,1.860759494
D100,0.002456292,1.457314685,997.2375,0.07246,0.000943923,100,25,3781.772712,71.79380961,0.011,0.126051084,2.696871146,2.232911392
D100,0.002455494,1.458380743,997.2375,0.07246,0.000943923,100,25,3783.309937,71.87553265,0.011,0.120449133,2.647227765,2.015822785
D100,0.00244574,1.45672258,997.2375,0.07246,0.000943923,100,25,3763.996604,71.42731233,0.0106,0.124070263,2.657785564,1.829746835
D200,0.002473541,1.420561628,997.2375,0.07246,0.000943923,200,25,3712.284845,68.69729006,0.011,0.10873018,2.748276141,1.984810127
D200,0.002473937,1.426534009,997.2375,0.07246,0.000943923,200,25,3728.489035,69.28723553,0.01,0.093868787,2.682650303,2.170886076
D200,0.002483818,1.427822774,997.2375,0.07246,0.000943923,200,25,3746.761321,69.68969547,0.0104,0.080043547,2.701945369,1.92278481
D200,0.002480818,1.41978587,997.2375,0.07246,0.000943923,200,25,3721.172584,68.82415627,0.0108,0.118133217,2.740214864,2.015822785
D200,0.002476708,1.430573646,997.2375,0.07246,0.000943923,200,25,3743.234443,69.75823477,0.0106,0.10464102,2.744762506,2.325949367
D400,0.002465925,1.456511626,997.2375,0.07246,0.000943923,400,25,3794.511837,71.99595575,0.0104,0.059940323,2.766825409,2.294936709
D400,0.002454217,1.431657717,997.2375,0.07246,0.000943923,400,25,3712.053915,69.22958172,0.011,0.055910393,2.901334736,2.232911392
D400,0.0024386,1.397806986,997.2375,0.07246,0.000943923,400,25,3601.221136,65.57453669,0.011,0.122183481,2.782567861,2.015822785
