Sample,Droplet diameter [m],Impact velocity [m/s],Density [kg/m3],Surface Tension [N/m],Dynamic Viscosity [Pa s],Distance between adjacent laser beam passes [µm],Average depth of micro-channels [µm],Reynolds number,Weber number,Contact time [s],Rebound efficiency,Spreading coefficient,Lamella velocity [m/s]
D600,0.002321445,0.536465068,1152.158,0.067599618,0.009047234,600,25,158.5974326,11.38699634,0.0148,0.209826461,1.562924626,0.529898219
D600,0.002325534,0.537453049,1152.158,0.067599618,0.009047234,600,25,159.1693825,11.44910777,0.014,0.235534394,1.570899386,0.529898219
D800,0.002332885,0.530938454,1152.158,0.067599618,0.009047234,800,25,157.7370629,11.20855201,0.0148,0.211542845,1.560605139,0.529898219
D800,0.00233814,0.525129282,1152.158,0.067599618,0.009047234,800,25,156.3625997,10.98931695,0.017,0.158906768,1.573095612,0.529898219
D800,0.002336785,0.51997314,1152.158,0.067599618,0.009047234,800,25,154.7375897,10.76832906,0.0166,0.173264343,1.568672064,0.561068702
D800,0.002328512,0.517563986,1152.158,0.067599618,0.009047234,800,25,153.4753587,10.63100413,0.016,0.179787594,1.584954696,0.529898219
D800,0.002332164,0.524870451,1152.158,0.067599618,0.009047234,800,25,155.886101,10.95042812,0.0138,0.251164998,1.571780184,0.498727735
S50,0.002298952,0.554379814,1152.266,0.067623358,0.009107103,50,6,161.2537832,12.03928862,0.0118,0.296161001,1.585030001,0.590736041
S50,0.002310249,0.546933625,1152.266,0.067623358,0.009107103,50,6,159.8696182,11.77562772,0.0112,0.307117005,1.575896097,0.654580153
S50,0.002312732,0.552925353,1152.266,0.067623358,0.009107103,50,6,161.7947352,12.04798434,0.0116,0.295446606,1.558030671,0.623409669
S50,0.002318459,0.548859887,1152.266,0.067623358,0.009107103,50,6,161.0028224,11.90086383,0.0116,0.298612683,1.559559837,0.561068702
S50,0.002327916,0.540044874,1152.266,0.067623358,0.009107103,50,6,159.0632094,11.56866099,0.0114,0.313268186,1.558580143,0.561068702
S100,0.002319547,0.516311842,1152.266,0.067623358,0.009107103,100,6,151.5262278,10.53618537,0.0116,0.328413445,1.560233628,0.55964467
S100,0.002325492,0.517318092,1152.266,0.067623358,0.009107103,100,6,152.2106399,10.60440202,0.0114,0.329209201,1.565566604,0.467557252
S100,0.002327321,0.516481288,1152.266,0.067623358,0.009107103,100,6,152.0839626,10.57843731,0.0114,0.334875386,1.575050725,0.529898219
S100,0.002328044,0.540106067,1152.266,0.067623358,0.009107103,100,6,159.089948,11.57191675,0.0114,0.310555665,1.558494761,0.498727735
S100,0.002333521,0.536005948,1152.266,0.067623358,0.009107103,100,6,158.2537096,11.42370589,0.0116,0.315929067,1.576208874,0.561068702
S200,0.002333007,0.542499387,1152.266,0.067623358,0.009107103,200,6,160.1355829,11.69958892,0.0122,0.288372866,1.583216207,0.55964467
S200,0.002336022,0.543705304,1152.266,0.067623358,0.009107103,200,6,160.6989555,11.7668476,0.0124,0.277849843,1.5638467,0.561068702
S200,0.002333945,0.54556547,1152.266,0.067623358,0.009107103,200,6,161.1053941,11.83696768,0.0118,0.292642255,1.565238263,0.561068702
S200,0.002338393,0.542098542,1152.266,0.067623358,0.009107103,200,6,160.3866972,11.70927722,0.0118,0.296442418,1.556928929,0.623409669
S200,0.00234165,0.540752545,1152.266,0.067623358,0.009107103,200,6,160.2112742,11.6674286,0.0122,0.292156469,1.570737295,0.561068702
S400,0.002337335,0.540589652,1152.158,0.067599618,0.009047234,400,6,160.910708,11.64191045,0.0116,0.296417149,1.54696515,0.529898219
S400,0.002342157,0.539555277,1152.158,0.067599618,0.009047234,400,6,160.9341444,11.62132698,0.0114,0.307617198,1.570397211,0.529898219
S400,0.002340466,0.532257422,1152.158,0.067599618,0.009047234,400,6,158.6427939,11.30091625,0.0116,0.315617298,1.560877234,0.529898219
S400,0.002341988,0.527788191,1152.158,0.067599618,0.009047234,400,6,157.4129933,11.1191561,0.0116,0.314159942,1.554539254,0.529898219
S400,0.00233526,0.534789395,1152.158,0.067599618,0.009047234,400,6,159.0428541,11.38330908,0.0118,0.300546188,1.553679247,0.561068702
S600,0.002336192,0.538919264,1152.158,0.067599618,0.009047234,600,6,160.3350247,11.56441563,0.0118,0.305078083,1.563733267,0.498727735
S600,0.002337378,0.539871357,1152.158,0.067599618,0.009047234,600,6,160.6998131,11.61120357,0.0132,0.263224642,1.568274191,0.561068702
S600,0.002312262,0.537698037,1152.158,0.067599618,0.009047234,600,6,158.3330694,11.39414293,0.0126,0.28125624,1.574524496,0.592239186
S600,0.002318246,0.542402397,1152.158,0.067599618,0.009047234,600,6,160.1317028,11.62439884,0.0124,0.267691545,1.565081714,0.529898219
S600,0.002218511,0.539528232,1152.158,0.067599618,0.009047234,600,6,152.4305264,11.0067146,0.0124,0.250526589,1.579240583,0.498727735
S800,0.002340213,0.542461899,1152.158,0.067599618,0.009047234,800,6,161.6667771,11.73712152,0.0168,0.164973541,1.566374266,0.529898219
S800,0.002342706,0.544369406,1152.158,0.067599618,0.009047234,800,6,162.4081394,11.83240649,0.0166,0.038274332,1.55938477,0.623409669
S800,0.002346126,0.542683658,1152.158,0.067599618,0.009047234,800,6,162.1415195,11.77640039,0.026,0.054419089,1.551797708,0.654580153
S800,0.002342875,0.540624391,1152.158,0.067599618,0.009047234,800,6,161.3024785,11.67100505,0.017,0.16793458,1.559272305,0.529898219
S800,0.002345999,0.541050403,1152.158,0.067599618,0.009047234,800,6,161.6448205,11.70499139,0.0154,0.17279058,1.562510743,0.592239186
D50,0.002253404,0.953096415,1151.51,0.067458438,0.008696196,50,25,284.3900165,34.94171613,0.0112,0.165336243,1.976807007,1.003841229
D50,0.002240378,0.949680513,1151.51,0.067458438,0.008696196,50,25,281.7326368,34.4911548,0.011,0.16566932,1.977099387,0.972471191
D50,0.002300944,1.009325488,1151.51,0.067458438,0.008696196,50,25,307.5216578,40.01289702,0.0108,0.145999953,1.941417591,1.035211268
D50,0.002296322,0.995900408,1151.51,0.067458438,0.008696196,50,25,302.8217335,38.87729143,0.0108,0.152792097,1.950789971,1.19206146
D50,0.002257227,0.953748681,1151.51,0.067458438,0.008696196,50,25,285.0673613,35.04890826,0.011,0.164700101,1.973459585,0.972471191
D100,0.002331454,0.966055569,1151.51,0.067458438,0.008696196,100,25,298.2410315,37.14176602,0.0116,0.150833476,1.916011638,1.035211268
D100,0.002325901,0.992862407,1151.51,0.067458438,0.008696196,100,25,305.786823,39.1382031,0.0112,0.147494226,1.936770574,0.972471191
D100,0.002327194,0.997012082,1151.51,0.067458438,0.008696196,100,25,307.2355001,39.48797522,0.0114,0.143578865,1.935694889,0.972471191
D100,0.002334462,0.996983593,1151.51,0.067458438,0.008696196,100,25,308.186195,39.60903312,0.0116,0.146554814,1.935043626,1.035211268
D100,0.002328959,0.996272355,1151.51,0.067458438,0.008696196,100,25,307.2404293,39.45931044,0.0114,0.14547447,1.923452039,1.097951344
D200,0.002333474,0.978294866,1151.348,0.06742348,0.008610586,200,25,305.2436661,38.13624896,0.011,0.158020795,1.935862752,1.035211268
D200,0.002338152,0.978966822,1151.348,0.06742348,0.008610586,200,25,306.0656221,38.26520672,0.0108,0.158643801,1.931989992,1.003841229
D200,0.002338537,0.981107632,1151.348,0.06742348,0.008610586,200,25,306.7855401,38.43908832,0.0108,0.158023365,1.931671261,1.035211268
D200,0.002337894,0.977978753,1151.348,0.06742348,0.008610586,200,25,305.723072,38.18380233,0.0108,0.159602256,1.937569797,1.097951344
D200,0.002340337,0.978716506,1151.348,0.06742348,0.008610586,200,25,306.2733559,38.28138734,0.0108,0.160105983,1.924824304,1.066581306
D400,0.002307426,0.960731884,1151.348,0.06742348,0.008610586,400,25,296.4175382,36.36868837,0.0114,0.157798324,1.941402004,1.003841229
D400,0.002332357,1.001375789,1151.348,0.06742348,0.008610586,400,25,312.295703,39.93784564,0.011,0.149814847,1.936789975,1.066581306
D400,0.002320638,0.985824503,1151.348,0.06742348,0.008610586,400,25,305.9009836,38.51252744,0.0114,0.150432602,1.941163574,1.19206146
D400,0.002337766,0.978033873,1151.348,0.06742348,0.008610586,400,25,305.7234814,38.18600554,0.0112,0.15442484,1.937676406,0.972471191
D400,0.00233283,0.97087303,1151.348,0.06742348,0.008610586,400,25,302.8442749,37.54942953,0.0112,0.155760063,1.931018644,1.097951344
D600,0.002337423,0.965903925,1151.348,0.06742348,0.008610586,600,25,301.887477,37.23921927,0.0122,0.139968246,1.927224159,1.035211268
D600,0.002344402,0.966766252,1151.348,0.06742348,0.008610586,600,25,303.0592444,37.41713719,0.0348,0.020931904,1.910781866,1.097951344
D600,0.002343761,0.970581609,1151.348,0.06742348,0.008610586,600,25,304.1720278,37.70273621,0.0144,0.108476786,1.92201239,1.129321383
D600,0.002346625,0.971368593,1151.348,0.06742348,0.008610586,600,25,304.7906118,37.81004391,0.012,0.144922827,1.91966687,1.129321383
D600,0.002347308,0.97259891,1151.348,0.06742348,0.008610586,600,25,305.265523,37.91692195,0.0118,0.146123308,1.913762311,1.035211268
D800,0.00235796,0.951741782,1151.348,0.06742348,0.008610586,800,25,300.0747134,36.47288138,0.0154,0.095584307,1.88915259,1.129321383
D800,0.002363183,0.949599165,1151.348,0.06742348,0.008610586,800,25,300.0623493,36.38927207,0.0172,0.067725752,1.900906673,0.941101152
D800,0.00236742,0.945551422,1151.348,0.06742348,0.008610586,800,25,299.3191092,36.14440955,0.0248,0.02079747,1.913404801,0.972471191
D800,0.002370425,0.948833002,1151.348,0.06742348,0.008610586,800,25,300.7390648,36.44191285,0.0134,0.130463085,1.900392618,1.097951344
D800,0.002371693,0.952280926,1151.348,0.06742348,0.008610586,800,25,301.9933986,36.72688319,0.0306,0.020813193,1.904667126,1.097951344
S50,0.002351105,0.951280889,1151.51,0.067458438,0.008696196,50,6,296.1551374,36.31793035,0.0106,0.166014283,1.899997057,0.972471191
S50,0.002336994,0.957182982,1151.51,0.067458438,0.008696196,50,6,296.2040021,36.54928953,0.0108,0.159068491,1.916839241,1.097951344
S50,0.002345343,0.953386923,1151.51,0.067458438,0.008696196,50,6,296.083295,36.38950473,0.0116,0.153462691,1.899315305,1.066581306
S50,0.002351191,0.952335744,1151.51,0.067458438,0.008696196,50,6,296.49429,36.3998394,0.0108,0.163975325,1.899928153,1.066581306
S50,0.00236191,0.958619374,1151.51,0.067458438,0.008696196,50,6,299.811222,37.04990812,0.0108,0.164328138,1.912556384,1.035211268
S100,0.002355961,0.948376727,1151.51,0.067458438,0.008696196,100,6,295.8607317,36.17106232,0.0112,0.160331481,1.901407517,1.003841229
S100,0.002355833,0.95588132,1151.51,0.067458438,0.008696196,100,6,298.185749,36.74378636,0.011,0.159153463,1.901510538,1.003841229
S100,0.002358852,0.956729698,1151.51,0.067458438,0.008696196,100,6,298.8328658,36.85620916,0.0108,0.164400406,1.915035485,1.097951344
S100,0.002354556,0.954098723,1151.51,0.067458438,0.008696196,100,6,297.4683622,36.58702907,0.0112,0.158883628,1.913200167,1.097951344
S100,0.002354769,0.954887392,1151.51,0.067458438,0.008696196,100,6,297.7411659,36.65085347,0.0118,0.151441196,1.907698465,1.066581306
S200,0.002364073,0.953498714,1151.348,0.06742348,0.008610586,200,6,301.4081057,36.70257864,0.0122,0.144512707,1.905498373,1.129321383
S200,0.002369156,0.949713157,1151.348,0.06742348,0.008610586,200,6,300.8568944,36.49000824,0.0124,0.145017672,1.91729971,1.035211268
